HH Income,Home Ownership,Ethnicity,dummy for Children,Year Of Residence,Age range,Language,City,County,Zip Code,weekly fee,Deliveryperiod,Nielsen Prizm,reward program,Source Channel,target
"$300,000 - $399,999",OWNER,English,N,5,40-44,English,IRVINE,ORANGE,92614,$0.01 - $0.50,SunOnly,MW,0,Partner,0
"$125,000 - $149,999",RENTER,Hispanic,Y,4,40-44,Spanish,TUSTIN,ORANGE,92782,$5.00 - $5.99,SunOnly,YM,26,Internet,1
"$  90,000 - $99,999",OWNER,English,N,29,65-69,English,PLACENTIA,ORANGE,92869,$3.00 - $3.99,7Day,MM,1,TeleIn,1
"$  90,000 - $99,999",RENTER,Welsh,N,1,30-34,English,SEAL BEACH,ORANGE,90740,$2.00 - $2.99,7Day,YM,0,Crew,0
"$  70,000 - $79,999",OWNER,unknown,N,23,65-69,English,LA HABRA,ORANGE,90631,$3.00 - $3.99,7Day,FW,4,CustCall,1
"$  70,000 - $79,999",RENTER,English,N,35,70-74,English,HUNTINGTON BEACH,ORANGE,92648,$4.00 - $4.99,7Day,MM,0,CustCall,1
"$400,000 - $499,999",OWNER,English,Y,17,45-49,English,ANAHEIM,ORANGE,92808,$2.00 - $2.99,Thu-SunT,YW,0,VRU,0
"$200,000 - $249,999",OWNER,Hispanic,Y,3,50-54,Spanish,CORONA,RIVERSIDE,92882,$0 - $0.01,SunOnly,FW,0,Partner,0
"$125,000 - $149,999",OWNER,Austrian,Y,17,40-44,English,LAGUNA BEACH,ORANGE,92651,$2.00 - $2.99,7Day,YW,0,CircAdm,0
"$  60,000 - $69,999",RENTER,Latvian,Y,23,50-54,English,FOUNTAIN VALLEY,ORANGE,92708,$0 - $0.01,SunOnly,YM,0,Partner,0
"$  20,000 - $29,999",OWNER,Hispanic,N,34,70-74,English,LAKEWOOD,LOS ANGELES,90713,$0.01 - $0.50,7Day,MW,0,CustCall,1
"$200,000 - $249,999",OWNER,Hispanic,N,15,45-49,Spanish,LAGUNA NIGUEL,ORANGE,92677,$0.01 - $0.50,SunOnly,MW,0,Partner,0
"$100,000 - $124,999",OWNER,English,Y,20,50-54,English,YORBA LINDA,ORANGE,92886,$0.01 - $0.50,SunOnly,FW,0,Partner,1
"$  90,000 - $99,999",OWNER,unknown,N,21,75 years or more,English,FULLERTON,ORANGE,92835,$3.00 - $3.99,Thu-Sun,MM,0,Kiosk1,0
"$150,000 - $174,999",OWNER,African (other),N,18,60-64,English,ORANGE,ORANGE,92867,$1.00 - $1.99,SunOnly,FW,0,Internet,0
"$100,000 - $124,999",OWNER,Hispanic,N,22,50-54,Spanish,FOOTHILL RANCH,ORANGE,92610,$1.00 - $1.99,SunOnly,FM,0,Crew,0
"$300,000 - $399,999",OWNER,English,N,20,75 years or more,English,SAN CLEMENTE,ORANGE,92673,$10.00 - $10.99,7Day,MM,1,VRU,1
"$150,000 - $174,999",OWNER,Chinese,N,7,45-49,Chinese,IRVINE,ORANGE,92603,$0.01 - $0.50,SunOnly,FW,0,RetenIn,0
"$300,000 - $399,999",OWNER,Irish,N,21,75 years or more,English,SAN CLEMENTE,ORANGE,92672,$10.00 - $10.99,7Day,FW,0,CustCall,1
"$  60,000 - $69,999",OWNER,Hispanic,N,3,75 years or more,English,FOUNTAIN VALLEY,ORANGE,92708,$2.00 - $2.99,SoooooS,MW,0,CustCall,0
"$150,000 - $174,999",OWNER,Indian,N,6,35-39,English,FULLERTON,ORANGE,92833,$1.00 - $1.99,SunOnly,FW,0,Internet,0
"$  90,000 - $99,999",OWNER,Hispanic,Y,22,70-74,English,ORANGE,ORANGE,92869,$10.00 - $10.99,7Day,MM,0,VRU,1
"$150,000 - $174,999",OWNER,Hispanic,Y,8,40-44,Spanish,CORONA,RIVERSIDE,92881,$4.00 - $4.99,7Day,FE,0,Crew,0
"$300,000 - $399,999",OWNER,Austrian,N,18,50-54,English,RANCHO SANTA MARGARITA,ORANGE,92688,$3.00 - $3.99,SunOnly,YW,0,Internet,1
"$300,000 - $399,999",OWNER,German,N,41,75 years or more,English,YORBA LINDA,ORANGE,92886,$10.00 - $10.99,7Day,MM,5,CustCall,1
"$  40,000 - $49,999",RENTER,Hispanic,N,1,30-34,English,ORANGE,ORANGE,92868,$1.00 - $1.99,7DayOL,MM,0,Internet,0
"$  60,000 - $69,999",OWNER,Hispanic,Y,19,45-49,Spanish,ANAHEIM,ORANGE,92801,$1.00 - $1.99,Thu-Sun,FM,0,Crew,0
"$  50,000 - $59,999",OWNER,Hispanic,N,22,55-59,English,ANAHEIM,ORANGE,92804,$0.01 - $0.50,SunOnly,FM,0,Partner,1
"$  20,000 - $29,999",RENTER,Hispanic,N,4,24 years or less,English,MIDWAY CITY,ORANGE,92647,$0.01 - $0.50,SunOnly,FM,0,Partner,1
"$100,000 - $124,999",OWNER,English,N,38,70-74,English,BREA,ORANGE,92821,$0.01 - $0.50,Thu-Sun,MW,0,TeleIn,1
"$  30,000 - $39,999",OWNER,Hispanic,N,11,35-39,Spanish,STANTON,ORANGE,90680,$2.00 - $2.99,Thu-Sun,FE,0,Crew,0
"Under $20,000",OWNER,Vietnamese,N,5,40-44,English,ANAHEIM,ORANGE,92805,$0.01 - $0.50,7Day,FM,0,CircAdm,0
"$200,000 - $249,999",OWNER,Hispanic,Y,10,45-49,English,CHINO HILLS,SAN BERNARDINO,91709,$0.01 - $0.50,SunOnly,FM,0,Partner,1
"Under $20,000",OWNER,Chinese,N,6,60-64,English,SANTA ANA,ORANGE,92707,$3.00 - $3.99,Thu-Sun,MW,0,Crew,0
"$100,000 - $124,999",OWNER,Jewish,N,29,65-69,English,CERRITOS,LOS ANGELES,90703,$4.00 - $4.99,7DayOL,MM,0,CircAdm,0
"$300,000 - $399,999",OWNER,Indian,N,20,65-69,English,ANAHEIM,ORANGE,92804,$0 - $0.01,SunOnly,FW,0,Partner,1
"$  20,000 - $29,999",RENTER,English,N,1,30-34,English,MISSION VIEJO,ORANGE,92691,$0.01 - $0.50,SunOnly,FE,0,Partner,0
"Under $20,000",RENTER,unknown,N,3,40-44,English,LONG BEACH,LOS ANGELES,90804,$1.00 - $1.99,7Day,YM,0,Crew,0
"$  70,000 - $79,999",OWNER,Hispanic,Y,7,35-39,English,LONG BEACH,LOS ANGELES,90808,$4.00 - $4.99,7DayOL,FM,0,CircAdm,0
"$200,000 - $249,999",OWNER,Hispanic,N,29,75 years or more,English,LAGUNA NIGUEL,ORANGE,92677,$2.00 - $2.99,7Day,MW,0,DirectMl,0
"$  70,000 - $79,999",OWNER,unknown,N,32,70-74,English,LONG BEACH,LOS ANGELES,90808,$5.00 - $5.99,7Day,FM,0,CustCall,0
"Under $20,000",OWNER,unknown,N,8,75 years or more,English,SEAL BEACH,ORANGE,90740,$2.00 - $2.99,7Day,ME,0,CustCall,1
"$  20,000 - $29,999",OWNER,Vietnamese,N,5,50-54,English,ANAHEIM,ORANGE,92805,$5.00 - $5.99,7Day,FM,0,RetenIn,0
"$  70,000 - $79,999",OWNER,English,N,3,75 years or more,English,NEWPORT BEACH,ORANGE,92660,$3.00 - $3.99,7Day,MM,0,CustCall,1
"Under $20,000",RENTER,Persian,N,7,75 years or more,English,TUSTIN,ORANGE,92780,$2.00 - $2.99,7Day,ME,0,TeleOut,0
"$  40,000 - $49,999",OWNER,Hispanic,N,17,45-49,Spanish,ANAHEIM,ORANGE,92805,$2.00 - $2.99,SunOnly,ME,0,TeleIn,0
"$  70,000 - $79,999",OWNER,Hispanic,Y,17,45-49,English,LONG BEACH,LOS ANGELES,90805,$0.01 - $0.50,SunOnly,FE,0,Partner,0
"$  30,000 - $39,999",RENTER,Irish,N,4,25-29,English,GARDEN GROVE,ORANGE,92840,$0.01 - $0.50,SunOnly,YM,0,Internet,1
"$  60,000 - $69,999",OWNER,Hispanic,N,23,60-64,Spanish,GARDEN GROVE,ORANGE,92843,$0 - $0.01,SunOnly,MM,0,Partner,0
"Under $20,000",RENTER,Hispanic,N,19,35-39,Spanish,LONG BEACH,LOS ANGELES,90805,$0.01 - $0.50,SunOnly,FE,0,Crew,1
"$100,000 - $124,999",OWNER,English,N,7,30-34,English,LA MIRADA,LOS ANGELES,90637,$0.01 - $0.50,SunOnly,MW,0,TMC,1
"$175,000 - $199,999",OWNER,Italian,Y,3,40-44,English,GARDEN GROVE,ORANGE,92845,$0.01 - $0.50,SunOnly,MW,0,Partner,0
"$  20,000 - $29,999",RENTER,Hispanic,N,3,45-49,Spanish,ANAHEIM,ORANGE,92801,$3.00 - $3.99,7Day,YM,0,Crew,0
"Under $20,000",RENTER,English,N,4,24 years or less,English,FULLERTON,ORANGE,92831,$3.00 - $3.99,7Day,YM,0,Kiosk,0
"$150,000 - $174,999",OWNER,Hispanic,N,12,55-59,Spanish,YORBA LINDA,ORANGE,92886,$4.00 - $4.99,7Day,YW,0,VRU,0
"$300,000 - $399,999",OWNER,English,N,40,75 years or more,English,COSTA MESA,ORANGE,92629,$10.00 - $10.99,7Day,MW,0,CustCall,1
"$  70,000 - $79,999",OWNER,English,N,3,24 years or less,English,LAGUNA NIGUEL,ORANGE,92678,$0.01 - $0.50,SunOnly,MM,0,DIRECTM4,1
"$100,000 - $124,999",OWNER,English,N,2,45-49,English,ORANGE,ORANGE,92868,$0 - $0.01,SunOnly,YM,0,Partner,0
"$150,000 - $174,999",OWNER,Dutch,N,5,30-34,English,RANCHO SANTA MARGARITA,ORANGE,92688,$3.00 - $3.99,SunOnly,FM,0,Partner,1
"Under $20,000",RENTER,Hispanic,N,4,24 years or less,Spanish,SANTA ANA,ORANGE,92704,$0.01 - $0.50,SunOnly,FE,0,Partner,0
"$300,000 - $399,999",OWNER,Irish,N,20,45-49,English,GARDEN GROVE,ORANGE,92844,$0.01 - $0.50,SunOnly,MW,0,Partner,1
"$100,000 - $124,999",OWNER,Chinese,N,2,35-39,English,YORBA LINDA,ORANGE,92886,$1.00 - $1.99,Thu-Sun,YW,0,TeleIn,0
"$125,000 - $149,999",OWNER,English,N,39,75 years or more,English,WESTMINSTER,ORANGE,92683,$10.00 - $10.99,7Day,MW,0,CustCall,1
"$  50,000 - $59,999",OWNER,Hispanic,N,10,70-74,Spanish,ANAHEIM,ORANGE,92805,$4.00 - $4.99,7Day,MW,0,Crew,0
"$200,000 - $249,999",OWNER,Scottish (Scotch),Y,19,55-59,English,RANCHO SANTA MARGARITA,ORANGE,92688,$1.00 - $1.99,7Day,FW,0,CustCall,0
"$  40,000 - $49,999",OWNER,German,N,38,75 years or more,English,ANAHEIM,ORANGE,92807,$10.00 - $10.99,7Day,MW,13,TeleIn,1
"$  70,000 - $79,999",OWNER,English,N,7,45-49,English,ORANGE,ORANGE,92867,$0.01 - $0.50,SunOnly,FW,0,PARTNER,1
"$100,000 - $124,999",OWNER,English,N,21,55-59,English,ANAHEIM,ORANGE,92804,$0.01 - $0.50,SunOnly,FM,0,Partner,1
"$200,000 - $249,999",OWNER,Irish,Y,20,55-59,English,ALISO VIEJO,ORANGE,92656,$0.01 - $0.50,Thu-Sun,FW,0,System,0
"$100,000 - $124,999",OWNER,Hispanic,Y,14,45-49,Spanish,LA HABRA,ORANGE,90631,$0.01 - $0.50,SunOnly,FM,0,Partner,0
"$150,000 - $174,999",OWNER,Italian,N,2,30-34,English,RANCHO SANTA MARGARITA,ORANGE,92688,$0.01 - $0.50,SunOnly,FW,0,Partner,1
"$  70,000 - $79,999",OWNER,unknown,N,15,65-69,Spanish,ORANGE,ORANGE,92869,$4.00 - $4.99,7Day,MW,0,Internet,0
"$  50,000 - $59,999",OWNER,French,N,18,50-54,English,GARDEN GROVE,ORANGE,92840,$0.01 - $0.50,Thu-Sun,FM,0,TeleIn,0
"$  60,000 - $69,999",RENTER,Irish,N,1,55-59,English,NEWPORT BEACH,ORANGE,92660,$0 - $0.01,SunOnly,YW,0,Partner,0
"$  40,000 - $49,999",RENTER,Hispanic,Y,21,55-59,Spanish,ANAHEIM,ORANGE,92805,$1.00 - $1.99,SunOnly,FE,0,TeleOut,0
"$  80,000 - $89,999",OWNER,Serbian,N,26,75 years or more,English,HUNTINGTON BEACH,ORANGE,92646,$8.00 - $8.99,7Day,MW,0,CustCall,1
"$  20,000 - $29,999",OWNER,Hispanic,N,8,50-54,Spanish,SAN JUAN CAPISTRANO,ORANGE,92675,$1.00 - $1.99,SunOnly,FE,0,Crew,0
"$150,000 - $174,999",OWNER,unknown,N,6,40-44,English,ORANGE,ORANGE,92865,$0.01 - $0.50,SunOnly,YW,0,DirectMl,1
"$  30,000 - $39,999",RENTER,Hispanic,N,16,55-59,Spanish,TUSTIN,ORANGE,92780,$4.00 - $4.99,7Day,FE,0,Crew,0
"$100,000 - $124,999",OWNER,English,N,10,65-69,English,LAKE FOREST,ORANGE,92630,$0.01 - $0.50,SunOnly,MW,0,CustCall,1
"$  80,000 - $89,999",OWNER,Scottish (Scotch),N,23,40-44,English,PLACENTIA,ORANGE,92870,$1.00 - $1.99,Soooooo,FM,0,System,0
"$  60,000 - $69,999",OWNER,German,N,7,65-69,English,SANTA ANA,ORANGE,92706,$0.51 - $0.99,Thu-Sun,FM,0,Internet,1
"$  90,000 - $99,999",OWNER,Scottish (Scotch),N,4,50-54,English,SANTA ANA,ORANGE,92706,$1.00 - $1.99,Thu-Sun,FM,0,Crew,0
"$125,000 - $149,999",OWNER,English,N,6,60-64,English,ORANGE,ORANGE,92867,$0.01 - $0.50,SunOnly,MW,1,CustCall,1
"$150,000 - $174,999",OWNER,Vietnamese,N,7,40-44,English,WESTMINSTER,ORANGE,92683,$4.00 - $4.99,7Day,MM,0,Crew,0
"$  90,000 - $99,999",OWNER,Hispanic,Y,8,30-34,English,SAN JUAN CAPISTRANO,ORANGE,92675,$1.00 - $1.99,7Day,MM,0,TeleIn,0
"$150,000 - $174,999",OWNER,English,N,22,70-74,English,GARDEN GROVE,ORANGE,92844,$0.01 - $0.50,SunOnly,MW,2,Partner,1
"$150,000 - $174,999",OWNER,unknown,Y,10,40-44,English,LOS ALAMITOS,ORANGE,90720,$0 - $0.01,SunOnly,MW,0,Partner,1
"$  30,000 - $39,999",RENTER,Hispanic,N,6,60-64,English,LA HABRA,ORANGE,90631,$0 - $0.01,SunOnly,FE,0,Partner,0
"$  80,000 - $89,999",OWNER,English,N,23,65-69,English,LONG BEACH,LOS ANGELES,90815,$1.00 - $1.99,SoooTFS,MW,0,TeleIn,0
"$300,000 - $399,999",OWNER,Vietnamese,Y,5,50-54,English,FOUNTAIN VALLEY,ORANGE,92704,$0 - $0.01,7Day,MW,1,Partner,1
"$  20,000 - $29,999",OWNER,English,Y,20,45-49,English,HUNTINGTON BEACH,ORANGE,92649,$1.00 - $1.99,7Day,MW,0,Kiosk,0
"$125,000 - $149,999",OWNER,English,N,44,75 years or more,English,LA PALMA,ORANGE,90623,$2.00 - $2.99,SatSun,MW,0,CustCall,0
"$100,000 - $124,999",OWNER,Scottish (Scotch),N,23,65-69,English,SEAL BEACH,ORANGE,90740,$3.00 - $3.99,THU-SUN,MM,0,Kiosk1,0
"$200,000 - $249,999",OWNER,Italian,N,23,70-74,English,ORANGE,ORANGE,92869,$10.00 - $10.99,7Day,MW,0,CustCall,1
"$100,000 - $124,999",OWNER,German,N,5,65-69,English,ANAHEIM,ORANGE,92802,$4.00 - $4.99,7Day,MM,0,CustCall,0
"$125,000 - $149,999",OWNER,English,N,5,60-64,English,LAKE FOREST,ORANGE,92630,$0.01 - $0.50,7Day,MM,0,CustCall,1
"$200,000 - $249,999",OWNER,Scottish (Scotch),Y,13,45-49,English,MISSION VIEJO,ORANGE,92692,$0.01 - $0.50,SunOnly,MW,0,Partner,0
"$100,000 - $124,999",OWNER,unknown,N,24,55-59,Spanish,YORBA LINDA,ORANGE,92886,$0.51 - $0.99,7Day,FW,0,TeleIn,0
"$300,000 - $399,999",OWNER,Italian,Y,7,35-39,English,ANAHEIM,ORANGE,92808,$0 - $0.01,SunOnly,FW,0,AdvAdm,0
"Under $20,000",RENTER,English,N,4,75 years or more,English,SEAL BEACH,ORANGE,90748,$2.00 - $2.99,7Day,MW,0,CustCall,1
"$100,000 - $124,999",RENTER,Dutch,Y,4,40-44,English,IRVINE,ORANGE,92604,$1.00 - $1.99,Thu-Sun,MW,0,TeleIn,0
"Under $20,000",OWNER,Hispanic,N,16,75 years or more,English,ANAHEIM,ORANGE,92801,$0 - $0.01,SunOnly,MW,0,Partner,1
"$100,000 - $124,999",OWNER,German,Y,18,55-59,English,ANAHEIM,ORANGE,92807,$9.00 - $9.99,7Day,MW,10,CustCall,0
"$100,000 - $124,999",OWNER,Chinese,N,5,45-49,English,LA PALMA,ORANGE,90623,$0.01 - $0.50,SunOnly,MW,0,Partner,1
"$  50,000 - $59,999",RENTER,Korean,Y,2,50-54,English,CYPRESS,ORANGE,90630,$0.01 - $0.50,SunOnly,FM,0,Partner,1
"$  50,000 - $59,999",OWNER,Italian,N,20,50-54,English,ANAHEIM,ORANGE,92805,$0 - $0.01,SunOnly,MW,0,Partner,0
"$  50,000 - $59,999",OWNER,French,N,34,75 years or more,English,SAN CLEMENTE,ORANGE,92672,$2.00 - $2.99,SoooTFS,YW,0,SCinsert,0
"$  50,000 - $59,999",OWNER,Nigerian,N,16,55-59,English,BUENA PARK,ORANGE,90620,$0 - $0.01,7Day,FM,0,Partner,1
"Under $20,000",RENTER,Hispanic,N,4,30-34,Spanish,GARDEN GROVE,ORANGE,92843,$3.00 - $3.99,THU-SUN,FE,0,Crew1,1
"$  70,000 - $79,999",OWNER,English,N,29,60-64,English,HUNTINGTON BEACH,ORANGE,92647,$10.00 - $10.99,7Day,MW,23,TeleIn,1
"$  40,000 - $49,999",OWNER,English,N,22,75 years or more,English,MISSION VIEJO,ORANGE,92692,$3.00 - $3.99,7Day,MM,0,TeleIn,1
"$  50,000 - $59,999",OWNER,Hispanic,N,12,45-49,Spanish,SANTA ANA,ORANGE,92707,$2.00 - $2.99,Fri-Sun,FM,0,Crew,0
"$  30,000 - $39,999",RENTER,Hispanic,N,6,25-29,English,SANTA ANA,ORANGE,92701,$0 - $0.01,SunOnly,FE,0,Partner,1
"$  20,000 - $29,999",OWNER,Hispanic,Y,12,30-34,Spanish,SANTA ANA,ORANGE,92707,$4.00 - $4.99,SoooTFS,MM,0,Crew,0
"$125,000 - $149,999",OWNER,unknown,Y,34,70-74,English,CYPRESS,ORANGE,90630,$0 - $0.01,Thu-Sun,MW,0,CircAdm,0
"$125,000 - $149,999",OWNER,English,Y,24,55-59,English,PLACENTIA,ORANGE,92870,$10.00 - $10.99,7Day,MW,0,CustCall,1
"$  60,000 - $69,999",OWNER,German,N,20,55-59,English,COSTA MESA,ORANGE,92626,$9.00 - $9.99,7Day,MW,0,TeleIn,1
"$  40,000 - $49,999",OWNER,English,N,13,65-69,English,COSTA MESA,ORANGE,92626,$2.00 - $2.99,7Day,FM,0,DirectMl,0
"$  30,000 - $39,999",OWNER,Scottish (Scotch),N,17,55-59,English,MISSION VIEJO,ORANGE,92692,$0.01 - $0.50,SunOnly,FM,0,Event,0
"$100,000 - $124,999",OWNER,Vietnamese,Y,14,40-44,Vietnamese,GARDEN GROVE,ORANGE,92843,$0 - $0.01,SunOnly,FM,0,Partner,0
"$  90,000 - $99,999",OWNER,English,N,23,60-64,English,RANCHO SANTA MARGARITA,ORANGE,92688,$2.00 - $2.99,SatSun,MW,0,CustCall,0
"$  50,000 - $59,999",OWNER,Scottish (Scotch),N,6,40-44,English,ANAHEIM,ORANGE,92805,$1.00 - $1.99,SunOnly,MW,0,Kiosk,0
"$100,000 - $124,999",OWNER,English,N,21,60-64,English,HUNTINGTON BEACH,ORANGE,92648,$3.00 - $3.99,Thu-Sun,MW,0,Internet,1
"$150,000 - $174,999",OWNER,unknown,N,22,65-69,English,LAGUNA HILLS,ORANGE,92653,$0.01 - $0.50,SunOnly,MW,0,Partner,1
"$  40,000 - $49,999",RENTER,Korean,N,3,45-49,Korean,LA HABRA,ORANGE,90631,$0 - $0.01,SunOnly,MM,0,Partner,0
"$400,000 - $499,999",OWNER,English,N,3,70-74,English,SAN JUAN CAPISTRANO,ORANGE,92675,$9.00 - $9.99,7Day,MM,0,CustCall,1
"$400,000 - $499,999",OWNER,English,Y,10,45-49,English,CORONA,RIVERSIDE,92883,$0.01 - $0.50,SunOnly,FW,0,Partner,1
"$  40,000 - $49,999",OWNER,Hispanic,N,10,35-39,English,LOS ALAMITOS,ORANGE,90720,$1.00 - $1.99,Thu-Sun,FM,0,CircAdm,0
"$175,000 - $199,999",OWNER,Irish,N,23,75 years or more,English,ANAHEIM,ORANGE,92806,$10.00 - $10.99,7Day,MW,0,CustCall,1
"$  30,000 - $39,999",RENTER,Vietnamese,N,5,30-34,Vietnamese,SANTA ANA,ORANGE,92703,$0 - $0.01,SunOnly,FM,0,Partner,0
"$  30,000 - $39,999",RENTER,English,N,9,75 years or more,English,BREA,ORANGE,92821,$2.00 - $2.99,7Day,MM,0,CustCall,1
"$  70,000 - $79,999",OWNER,English,Y,10,45-49,English,HUNTINGTON BEACH,ORANGE,92646,$0 - $0.01,SunOnly,MW,0,Partner,1
"$200,000 - $249,999",OWNER,Dutch,Y,16,55-59,English,LAGUNA NIGUEL,ORANGE,92677,$3.00 - $3.99,Thu-Sun,MW,3,System,0
"$  40,000 - $49,999",OWNER,English,N,17,50-54,English,ANAHEIM,ORANGE,92804,$4.00 - $4.99,7Day,MM,0,Crew,0
"$  70,000 - $79,999",RENTER,Jewish,Y,8,35-39,English,HUNTINGTON BEACH,ORANGE,92648,$1.00 - $1.99,Thu-Sun,YM,0,Crew,0
"$  20,000 - $29,999",OWNER,English,N,41,70-74,English,TUSTIN,ORANGE,92780,$3.00 - $3.99,7Day,YW,0,DirectMl,1
"$150,000 - $174,999",OWNER,English,N,25,75 years or more,English,DANA POINT,ORANGE,92629,$10.00 - $10.99,7Day,MW,0,CustCall,1
"$  90,000 - $99,999",OWNER,French,N,17,65-69,English,LAGUNA BEACH,ORANGE,92651,$0.01 - $0.50,SunOnly,MM,0,Partner,0
"$  20,000 - $29,999",RENTER,Hispanic,Y,10,30-34,Spanish,SANTA ANA,ORANGE,92701,$3.00 - $3.99,SoooTFS,FE,0,Crew,0
"$  80,000 - $89,999",OWNER,Hispanic,Y,7,55-59,English,GARDEN GROVE,ORANGE,92840,$0 - $0.01,SunOnly,MW,0,Partner,0
"Under $20,000",RENTER,Japanese,N,3,75 years or more,Japanese,GARDEN GROVE,ORANGE,92845,$0 - $0.01,7Day,ME,0,CircAdm,0
"$  30,000 - $39,999",RENTER,Hispanic,N,11,45-49,Spanish,ORANGE,ORANGE,92867,$3.00 - $3.99,SooooFS,FE,0,TeleIn,0
"$  70,000 - $79,999",OWNER,Hispanic,N,27,60-64,Spanish,COSTA MESA,ORANGE,92626,$0.01 - $0.50,SunOnly,MM,0,Partner,0
"$125,000 - $149,999",OWNER,English,N,38,65-69,English,PLACENTIA,ORANGE,92870,$10.00 - $10.99,7Day,MW,0,CustCall,1
"$  20,000 - $29,999",OWNER,unknown,N,2,75 years or more,English,ORANGE,ORANGE,92869,$1.00 - $1.99,Thu-Sun,MM,0,Crew,0
"$  60,000 - $69,999",OWNER,Hispanic,N,19,45-49,Spanish,ANAHEIM,ORANGE,92805,$0.01 - $0.50,SunOnly,FM,0,Crew,1
"$100,000 - $124,999",OWNER,Irish,N,34,75 years or more,English,HUNTINGTON BEACH,ORANGE,92647,$1.00 - $1.99,SunOnly,MW,0,CustCall,0
"$  40,000 - $49,999",OWNER,Chinese,N,7,30-34,English,LAKE FOREST,ORANGE,92630,$1.00 - $1.99,SunOnly,FE,0,Crew,0
"Under $20,000",RENTER,English,Y,2,70-74,English,DANA POINT,ORANGE,92629,$3.00 - $3.99,Thu-Sun,YM,0,Crew,0
"$  80,000 - $89,999",OWNER,German,N,5,75 years or more,German,LAGUNA NIGUEL,ORANGE,92677,$4.00 - $4.99,7Day,MW,0,VRU,0
"$  90,000 - $99,999",OWNER,Irish,N,37,75 years or more,English,CYPRESS,ORANGE,90630,$0.01 - $0.50,SunOnly,MW,2,CustCall,1
"$300,000 - $399,999",OWNER,English,N,7,30-34,English,YORBA LINDA,ORANGE,92886,$0 - $0.01,7Day,FM,0,Partner,1
"$  80,000 - $89,999",OWNER,Hispanic,N,1,35-39,English,WHITTIER,LOS ANGELES,90604,$0 - $0.01,7Day,FM,0,Partner,1
"$125,000 - $149,999",OWNER,English,N,21,55-59,English,BREA,ORANGE,92821,$2.00 - $2.99,7Day,MM,0,SCinsert,1
"$125,000 - $149,999",OWNER,Italian,N,1,60-64,English,IRVINE,ORANGE,92602,$0 - $0.01,SunOnly,MW,0,Partner,0
"Under $20,000",RENTER,Hispanic,N,8,35-39,English,HUNTINGTON BEACH,ORANGE,92647,$0.01 - $0.50,SunOnly,FE,0,Partner,1
"$100,000 - $124,999",OWNER,English,N,34,60-64,English,ANAHEIM,ORANGE,92802,$0.01 - $0.50,7Day,MM,13,CustCall,1
"$200,000 - $249,999",OWNER,French,N,16,55-59,English,CORONA,RIVERSIDE,92881,$0 - $0.01,SunOnly,FM,0,Partner,0
"$  40,000 - $49,999",OWNER,English,N,5,30-34,English,SIGNAL HILL,LOS ANGELES,90755,$0.01 - $0.50,SunOnly,FM,0,Crew,1
"$  50,000 - $59,999",RENTER,German,N,3,55-59,English,ANAHEIM,ORANGE,92807,$0.01 - $0.50,SunOnly,FE,0,Partner,0
"$500,000 Plus",OWNER,Scottish (Scotch),N,26,55-59,English,YORBA LINDA,ORANGE,92886,$0.01 - $0.50,SunOnly,YW,0,TeleIn,1
"$125,000 - $149,999",OWNER,Indian,N,23,65-69,Hindi,PLACENTIA,ORANGE,92870,$0.01 - $0.50,SunOnly,YW,0,CustCall,1
"Under $20,000",RENTER,Hispanic,N,1,30-34,English,BUENA PARK,ORANGE,90621,$2.00 - $2.99,Thu-Sun,FE,0,TeleIn,0
"$  50,000 - $59,999",OWNER,Hispanic,N,27,50-54,Spanish,ANAHEIM,ORANGE,92805,$1.00 - $1.99,Thu-Sun,MW,0,TeleIn,0
"$  80,000 - $89,999",RENTER,German,N,1,45-49,English,FULLERTON,ORANGE,92831,$8.00 - $8.99,SoooTFS,FM,0,Kiosk,0
"Under $20,000",OWNER,Hispanic,N,16,60-64,English,STANTON,ORANGE,90680,$0.01 - $0.50,SunOnly,FM,0,Partner,1
"$125,000 - $149,999",OWNER,English,N,3,70-74,English,SAN CLEMENTE,ORANGE,92672,$0 - $0.01,7Day,MM,0,Partner,1
"$  40,000 - $49,999",OWNER,Hispanic,N,10,50-54,English,IRVINE,ORANGE,92616,$10.00 - $10.99,7Day,MW,0,CustCall,1
"Under $20,000",RENTER,English,N,2,50-54,English,WESTMINSTER,ORANGE,92683,$0.01 - $0.50,Thu-Sun,YM,0,Partner,1
"$  60,000 - $69,999",OWNER,Indian,N,29,55-59,Hindi,BUENA PARK,ORANGE,90620,$3.00 - $3.99,7Day,MW,0,CustCall,1
"$500,000 Plus",OWNER,Hispanic,N,31,70-74,Spanish,TUSTIN,ORANGE,92782,$4.00 - $4.99,7Day,YW,1,Internet,1
"Under $20,000",OWNER,English,N,2,75 years or more,English,HUNTINGTON BEACH,ORANGE,92646,$10.00 - $10.99,7Day,ME,0,CustCall,1
"$300,000 - $399,999",OWNER,English,N,22,70-74,English,NEWPORT BEACH,ORANGE,92662,$0.01 - $0.50,SunOnly,MW,0,TeleIn,0
"$150,000 - $174,999",OWNER,English,Y,17,40-44,English,FOUNTAIN VALLEY,ORANGE,92708,$2.00 - $2.99,SatSun,MW,0,DirectMl,0
"$100,000 - $124,999",OWNER,Hispanic,N,38,65-69,English,IRVINE,ORANGE,92620,$9.00 - $9.99,7Day,MW,1,CustCall,0
